"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PLG",4.03750920070421e-140,-2.26716930557388,0.08,0.709,1.52044521480119e-135
"SERPINA6",8.70184088258449e-140,-2.65919239862357,0.267,0.956,3.27693923956367e-135
"UGT2B15",1.30233413598841e-139,-2.29945549155073,0.153,0.862,4.90432988930515e-135
"CDHR5",9.24739439760919e-139,-3.10101410929172,0.071,0.644,3.48238378225167e-134
"SLC51A",1.33385240089018e-138,-3.43929368265794,0.037,0.542,5.02302137127223e-134
"BHMT2",1.59520844999875e-138,-3.03110711131555,0.096,0.705,6.0072359810053e-134
"GCGR",1.57718035936835e-137,-3.86765967483154,0.005,0.385,5.93934579730932e-133
"GLYAT",1.36032267724224e-136,-3.487539121883,0.029,0.505,5.12270313795884e-132
"ITIH3",3.9772426232745e-136,-2.67908598060845,0.107,0.735,1.49775002707271e-131
"F10",4.09493302172982e-136,-2.78423124532033,0.158,0.818,1.54206987732302e-131
"MLXIPL",1.34983463558104e-135,-2.96941904017465,0.15,0.796,5.0832072706711e-131
"AASS",5.46845381959372e-134,-3.20698981145186,0.036,0.527,2.0593103393826e-129
"CNGA1",1.52054282376322e-133,-3.42904635694274,0.016,0.433,5.72606016572752e-129
"HPX",5.4205975567158e-133,-3.40821854125068,0.203,0.829,2.04128862790804e-128
"MAD1L1",5.23309488353188e-131,-3.15695028818404,0.112,0.705,1.97067887124043e-126
"GSTA1",7.90272831843014e-131,-2.29247518206735,0.114,0.771,2.97600943015442e-126
"CPN2",4.85177331865617e-130,-3.59733774347513,0.024,0.462,1.82708079633954e-125
"CYP2C8",8.47742568912648e-130,-2.15684884545491,0.076,0.669,3.19242896601125e-125
"ADH1A",2.63284000365167e-129,-3.24519460750045,0.041,0.538,9.91474888575146e-125
"PDK4",3.28290461933092e-129,-3.24675125120653,0.161,0.785,1.23627622154764e-124
"CES2",5.26290388961078e-129,-2.90209235659551,0.181,0.818,1.98190434674963e-124
"TTR",6.27142768137231e-129,-2.89925673329481,0.334,0.949,2.36169423625118e-124
"FKBP5",8.17882403001323e-129,-2.83695977149502,0.126,0.745,3.07998155322238e-124
"ACSM5",5.00739641934307e-128,-3.47876950058298,0.035,0.502,1.88568534359621e-123
"EHHADH",5.98393256559892e-128,-3.09489447572162,0.063,0.596,2.25342932555324e-123
"HP",9.08659777270668e-128,-2.95253933238997,0.16,0.796,3.42183098924588e-123
"ACTA2",5.97786435405045e-126,-3.60076483313835,0.037,0.505,2.25114415844832e-121
"ADH1C",1.64817140133049e-125,-2.57209157583069,0.08,0.655,6.20668386313034e-121
"ADCY1",3.69122983776048e-125,-4.0562247549411,0.013,0.4,1.39004333230384e-120
"SLC13A5",1.67176123064984e-124,-4.0810611078214,0.017,0.418,6.29551844238117e-120
"FABP1",5.85262500253698e-124,-1.7311985414364,0.135,0.785,2.20398152345537e-119
"UPB1",1.73885702356094e-123,-3.09160337958381,0.04,0.513,6.5481877793258e-119
"PIPOX",1.97504758996399e-123,-3.0404892969691,0.062,0.582,7.43763421428638e-119
"ASGR1",5.58751902893911e-122,-2.11379012371601,0.294,0.96,2.10414791591789e-117
"TFR2",7.25170654991014e-122,-2.96168669052118,0.195,0.796,2.73084765256516e-117
"ANXA6",1.89598080716316e-121,-3.18900849636567,0.065,0.582,7.13988452361504e-117
"HULC",2.76069529145573e-121,-2.05073764735555,0.157,0.789,1.0396226328564e-116
"SERPINA11",7.71286000270293e-121,-3.07980253564141,0.057,0.567,2.90450881981787e-116
"SERPIND1",8.44374608322098e-121,-2.8145969790044,0.14,0.742,3.17974590001936e-116
"PON1",7.49749746040295e-118,-2.50202979332687,0.111,0.698,2.82340759363854e-113
"MGP",1.26490119015409e-117,-3.15793848507372,0.024,0.436,4.76336490188228e-113
"KLKB1",2.28506083458351e-117,-2.99625875019703,0.053,0.538,8.60508209087457e-113
"APOC2",1.45011774625571e-116,-2.08403887092662,0.19,0.825,5.46085340884977e-112
"LIPC",1.95695247867726e-116,-2.65954979117719,0.096,0.655,7.36949164420283e-112
"C8B",4.85518232778323e-116,-2.58949798424861,0.068,0.589,1.82836456099661e-111
"GATM",1.61188015801595e-115,-2.32706288490662,0.429,0.96,6.07001829905646e-111
"CCL16",3.05016006342659e-115,-1.94108105823287,0.044,0.524,1.14862927668518e-110
"SLC6A1",5.31642195902204e-115,-3.33137371855901,0.035,0.473,2.00205818132852e-110
"F13B",1.32919125350676e-114,-3.18012853200259,0.024,0.429,5.00546842245575e-110
"EPHX2",8.36078802474339e-114,-2.75600603384929,0.08,0.6,3.14850555435786e-109
"SSPO",1.24631557393564e-113,-4.78690388728059,0.003,0.313,4.69337518832682e-109
"APOB",4.22999992630088e-113,-2.46821338493098,0.341,0.913,1.59293337224639e-108
"ALDH1L1",6.08290640425523e-113,-2.42321035246809,0.077,0.611,2.29070089371444e-108
"RTP3",1.46375240633318e-112,-3.11011264022329,0.032,0.455,5.5121988117695e-108
"BPHL",1.08625691552694e-108,-2.48740672486162,0.147,0.727,4.09062629249134e-104
"MST1",1.59163705709181e-108,-2.49246879787632,0.144,0.735,5.99378682959633e-104
"C2",2.95134498033362e-108,-2.93988570199509,0.285,0.811,1.11141749269404e-103
"AHSG",5.42476656388976e-108,-2.46098093961337,0.232,0.829,2.0428585926296e-103
"F2",8.3895606200507e-108,-2.79398262293911,0.267,0.822,3.15934073829869e-103
"AZGP1",1.07139109440335e-107,-2.60895002830733,0.395,0.916,4.03464458330412e-103
"F7",1.65377232600373e-107,-2.7317505455743,0.052,0.513,6.22777582526485e-103
"CYP3A5",3.60043718492203e-107,-2.18868271949548,0.592,0.985,1.35585263509794e-102
"PALMD",4.0548888098142e-107,-2.72243452965752,0.026,0.422,1.52699002799983e-102
"PAH",6.93236967107203e-106,-2.11151331025743,0.191,0.84,2.6105917707323e-101
"SEC14L2",1.97923813167357e-105,-2.63806300325329,0.069,0.553,7.45341495625632e-101
"F12",2.24585267432069e-104,-2.84038042339265,0.296,0.833,8.45743200095686e-100
"CFB",7.26029525751677e-104,-2.56562959441663,0.173,0.76,2.73408198807566e-99
"APOH",3.81135047317355e-103,-2.00218852363688,0.337,0.949,1.4352783611877e-98
"ETNK2",1.84423070222884e-102,-2.95502889834248,0.06,0.513,6.94500397845338e-98
"GUCA2B",2.43920033310761e-102,-3.78076566446185,0.013,0.342,9.18554061441664e-98
"ECHDC2",2.51704700153159e-102,-2.23653524118542,0.299,0.88,9.47869559836766e-98
"SLC28A1",1.02345249313153e-101,-3.70184685482754,0.019,0.367,3.85411739863473e-97
