"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RAMP2",0.0271924030441277,-0.685877144205884,0.044,0.063,1
"CLDN3",0.0271967350778844,-0.657482711109969,0.012,0.024,1
"AC016700.5",0.0272123129138586,0.841563312655012,0.016,0.008,1
"TRIM52",0.0272423923659515,-0.630475261916671,0.026,0.041,1
"BCAT1",0.0272819589625831,-2.00366840891087,0.003,0.011,1
"CRY2",0.0272939306649357,-0.507418053302444,0.066,0.089,1
"TSEN54",0.0274106058577107,0.326050246813011,0.249,0.217,1
"RMDN2",0.0274125419207521,-1.81099495094345,0.003,0.011,1
"KIAA0100",0.0274891458977451,-0.349932662573763,0.212,0.243,1
"CCNY",0.027536412485857,-0.458468408515893,0.096,0.121,1
"HPS5",0.0275465197955172,-0.496355721941562,0.103,0.129,1
"ROR1",0.0275492905006065,-0.533084840583713,0.061,0.084,1
"ADAMTS17",0.0275526832921075,-0.866813989318469,0.07,0.092,1
"PPFIBP1",0.0275660393780384,-0.428308745161607,0.261,0.292,1
"LRRC57",0.0275688676859568,-0.261456696721245,0.127,0.156,1
"TMEM253",0.0275883228506133,0.731044628709458,0.022,0.012,1
"SDK1",0.0276255890206806,0.502807635904901,0.022,0.012,1
"AGBL5",0.0276361256345181,0.389353882441691,0.094,0.072,1
"NAA16",0.0277023566021517,0.259130513629066,0.332,0.294,1
"MRPS18A",0.0277026672445538,-0.397720164438617,0.205,0.233,1
"NBPF9",0.0278184504024205,-0.327351681715219,0.072,0.096,1
"RP11-166O4.6",0.0279451582683254,-1.95279438929727,0.004,0.012,1
"AC004076.5",0.0279793313570512,-1.06192729625056,0.006,0.015,1
"FLJ37035",0.0279867644271417,1.22494648841021,0.01,0.004,1
"ENKD1",0.0280038827402769,0.575520569280647,0.049,0.033,1
"SLC27A2",0.0280338654923992,-1.13773855128768,0.006,0.015,1
"SLC19A2",0.0280348335582295,-0.292231786113107,0.208,0.241,1
"SEPHS1",0.0280405418919848,-0.311541415475726,0.101,0.128,1
"MSANTD3",0.0281144992795674,0.39745761246541,0.123,0.098,1
"CCDC122",0.0281446511276544,0.472382041671445,0.069,0.05,1
"TMEM192",0.0281576971921808,-0.489842472487526,0.048,0.068,1
"C14orf37",0.0281962515068247,0.294600784318718,0.061,0.043,1
"ESYT1",0.0282680466136496,-0.39996529214549,0.166,0.195,1
"HSH2D",0.0282703375240071,-1.25047369617286,0.004,0.012,1
"COG2",0.0282718670015667,0.356022349024634,0.132,0.106,1
"HIST1H4A",0.0282907720760165,0.683306776358521,0.023,0.013,1
"ZNF160",0.0282945078652781,-0.381104752565247,0.14,0.167,1
"CDK14",0.0283101353703789,-0.630745400375416,0.023,0.038,1
"ZNF300",0.0283157224356153,-0.332491512051758,0.045,0.065,1
"ITGAE",0.028376589336304,-0.276735312527747,0.24,0.274,1
"AATBC",0.0284254270513802,-0.443509852273225,0.005,0.014,1
"ASCL2",0.0284471298758702,-1.15664120889509,0.016,0.029,1
"NUP205",0.0284941955538655,-0.4184218761312,0.123,0.151,1
"COLEC12",0.0285048338045454,1.86152570147677,0.017,0.009,1
"PCDHB12",0.0285133612466531,-0.991862292452713,0.005,0.014,1
"C2orf40",0.0285427246675984,-1.00025404242924,0.005,0.014,1
"TAF1C",0.0285857374475708,-0.451608068442665,0.123,0.15,1
"KIAA0586",0.0286300005096653,-0.542665429649758,0.059,0.081,1
"TTLL4",0.0286433405127727,-0.678685268848838,0.085,0.108,1
"TRAF2",0.0287978439663716,-0.376418834864085,0.094,0.121,1
"CEP120",0.0287980241771416,0.335221478647322,0.056,0.039,1
"ZNF77",0.0288024960117214,-0.473496574071105,0.091,0.116,1
"ADGRL2",0.0289975346137366,0.334627763953706,0.107,0.084,1
"MSX1",0.0290153498744329,-0.663374008115843,0.063,0.085,1
"B3GNT9",0.0290223612481344,-1.13104803184936,0.014,0.027,1
"HIST1H4E",0.0290324758039091,-0.514847004064817,0.016,0.029,1
"PEX7",0.0290574493151275,0.727781470793182,0.061,0.044,1
"CYP3A5",0.0290733329406452,-1.54090674961442,0.023,0.038,1
"FOXRED2",0.0290926423897493,-0.737137528005295,0.025,0.04,1
"BCL2L11",0.0291166994834835,-0.62733729748885,0.112,0.139,1
"HYDIN",0.029140159521581,1.11996898536767,0.028,0.016,1
"PIGQ",0.0291490162052699,0.26545063534887,0.116,0.091,1
"ZNF787",0.0291586735993009,-0.269799383584672,0.022,0.037,1
"CD7",0.0291719637344613,1.3516031500346,0.013,0.006,1
"DHX30",0.0293692002042582,-0.341803884173153,0.273,0.301,1
"EXTL2",0.0294095782702312,0.280097072935225,0.14,0.113,1
"SEC24B",0.0294422664092731,-0.317672239589303,0.252,0.282,1
"KMO",0.0294463169293492,-0.93804379810807,0.014,0.027,1
"TCEA3",0.02952741571792,-0.324245993508576,0.067,0.09,1
"PSKH1",0.0295854695452395,-0.57446751347344,0.025,0.04,1
"IRX6",0.0298160032811558,-0.547196061635831,0.03,0.046,1
"MAP3K9",0.0298208370133923,-0.654734526942198,0.076,0.098,1
"FGD2",0.0298952074433259,-1.16686591592751,0.021,0.036,1
"AP2A2",0.0298960242120159,-0.458904486947867,0.098,0.123,1
"LINC01198",0.0300003502047153,0.341937931680087,0.025,0.014,1
"NUP43",0.030051271562238,-0.552527012304612,0.05,0.07,1
"KLRK1",0.0300766916239859,0.50664276836511,0.013,0.006,1
"WARS2",0.03008726291378,0.305256067028385,0.235,0.204,1
"CAMK4",0.0301170658617713,-0.872054423725551,0.028,0.043,1
"ZYG11B",0.0301641254770778,-0.345002830238242,0.092,0.117,1
"NSF",0.0302044744925778,-0.543948870325806,0.118,0.145,1
"TMEM44",0.0303022387635251,-0.651447489304699,0.02,0.035,1
"SPRYD4",0.0304450159410648,-0.311391387406374,0.049,0.069,1
"SDAD1",0.030596067235772,-0.302407050017023,0.323,0.354,1
"MCUR1",0.030674289379078,-0.308848795304505,0.372,0.395,1
"ZNF492",0.0307427531679499,0.583200591876841,0.028,0.016,1
"LINC00944",0.030764089399309,0.552097560922522,0.035,0.022,1
"TSPAN10",0.0307667633646995,0.627774170371676,0.03,0.018,1
"SCYL1",0.0307955975664209,-0.281550642745488,0.209,0.242,1
"SMYD5",0.0308037697272647,-0.676337331254442,0.049,0.069,1
"EXOG",0.0308345182200202,0.442132084997972,0.051,0.035,1
"SIPA1",0.0308366870022825,-0.533172749525167,0.037,0.054,1
"SFXN1",0.0308420943075803,-0.476259028987996,0.336,0.352,1
"MFHAS1",0.0308470203853992,-0.26471414568478,0.118,0.147,1
"SH3GLB2",0.0309149352965991,0.617148338941115,0.089,0.069,1
"CCDC7",0.0309620743118705,-0.541628063821342,0.025,0.04,1
"PVRL3",0.0309712808002896,-0.603827502358455,0.035,0.052,1
"ATP7A",0.0309883491926786,-0.479783719432739,0.072,0.094,1
"GRK5",0.031010422387618,-0.97768325104235,0.01,0.021,1
"TP53RK",0.031113671432363,-0.267274323727826,0.254,0.286,1
"RP1-40E16.12",0.0311559186236108,-0.59903886259001,0.033,0.05,1
"MAMSTR",0.0312088121276978,-0.815900439486494,0.03,0.046,1
"TMUB2",0.0312737355092643,0.303576873854187,0.237,0.205,1
"AC013463.2",0.0313074891773716,-1.13103076476423,0.007,0.017,1
"RERG",0.0313313706566405,-0.577009551068216,0.127,0.152,1
"COPG1",0.0313902688467514,-0.319784985813989,0.203,0.236,1
"RNF165",0.0313939152756053,-1.21550400823547,0.007,0.017,1
"OTUB2",0.0314417267986652,-0.68075971801247,0.01,0.021,1
