"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IRF3",0.0417981258919663,-0.310061163602959,0.191,0.184,1
"LSS",0.0418075762780209,-0.685598568808592,0.092,0.109,1
"SYDE2",0.0418520933699214,-0.479723432395938,0.064,0.071,1
"MCM5",0.0418689815030849,-0.317212318036458,0.09,0.098,1
"ZNF552",0.0419636441988369,0.264627959991543,0.164,0.154,1
"CDH13",0.0420620814167942,-1.19657353079587,0.005,0.011,1
"NADK",0.0421434904296984,-0.402716223949238,0.126,0.141,1
"HMGCS1",0.0422413245239178,-0.278149251573076,0.125,0.136,1
"GNG7",0.0422924812386977,0.320448148123461,0.078,0.064,1
"PTGER4",0.0423058629723018,-0.85179070179356,0.015,0.019,1
"SAMD12",0.0425792041692118,-0.36591499308772,0.074,0.091,1
"NFATC1",0.042600198854328,0.456317782977023,0.089,0.073,1
"GPR162",0.042732730533322,-0.581013045187643,0.01,0.014,1
"TCN1",0.0427876033478941,0.388621236597513,0.031,0.024,1
"GATAD2A",0.042883893480598,-0.517556326709115,0.122,0.139,1
"AC008764.8",0.0429228185797035,-0.642148675283077,0.014,0.018,1
"WIPF2",0.0430019662760222,-0.304470678178195,0.16,0.177,1
"ZNF630",0.0430285620165548,-0.256724931143728,0.033,0.039,1
"RPRD2",0.0430444592629966,-0.384042123902504,0.155,0.171,1
"PACS1",0.0431319219268454,-0.505806792634524,0.1,0.116,1
"ULK2",0.0431788876103068,-0.338067909562306,0.066,0.069,1
"CARS2",0.0432165184100956,-0.609710183236019,0.096,0.113,1
"SLC29A4",0.0432398185155931,-1.14220246159513,0.013,0.018,1
"TRPV4",0.0432643805900259,-0.606123761658694,0.036,0.043,1
"TOP2A",0.0433189236399902,-0.472593864983077,0.044,0.052,1
"ITGA4",0.0434030604801972,-1.17015956170801,0.015,0.019,1
"NANP",0.0435434525884763,-0.301034371863624,0.029,0.034,1
"EPHB3",0.0436837051005586,-0.268103548556524,0.105,0.124,1
"ASB3",0.043779759873378,-0.406067941261808,0.044,0.05,1
"NUP50",0.0437842875874979,-0.281897448191205,0.133,0.148,1
"ARHGAP15",0.0437850741722132,-1.1842288253504,0.014,0.018,1
"FAM198A",0.0439375109167874,0.459169323643958,0.04,0.032,1
"CPNE2",0.0439653723070069,-0.572180762761953,0.025,0.032,1
"STAM",0.0440523149416835,-0.370732756216491,0.103,0.112,1
"ARHGAP45",0.0440771478002583,-0.599712162076139,0.079,0.09,1
"PGBD4",0.0441157377853661,-0.727650641190057,0.013,0.017,1
"PLAUR",0.0442162548096719,-0.473117155439243,0.07,0.082,1
"ZKSCAN5",0.0442825530636216,-0.256638137538853,0.039,0.045,1
"TRIM2",0.0443485336292232,-0.293211192301645,0.08,0.091,1
"CNOT6",0.0444133085904132,-0.341541455667985,0.09,0.1,1
"RFC4",0.0445050226331675,-0.364455097419851,0.091,0.1,1
"ZNF440",0.0446178945491281,-0.64200890983678,0.033,0.042,1
"SESN3",0.0446693782006114,-0.587781528711074,0.134,0.147,1
"RECQL4",0.0447287105432455,-0.633298281414688,0.045,0.05,1
"XPR1",0.0453244083982444,-0.398414680646497,0.076,0.09,1
"AC025154.2",0.0457403008530936,1.2977025672484,0.014,0.009,1
"UAP1L1",0.0458013143398779,-0.696015590343836,0.041,0.048,1
"NUFIP2",0.0458230699270113,-0.417048978600242,0.181,0.198,1
"E2F1",0.0458278520447571,-0.791228304493033,0.021,0.027,1
"CST7",0.0458459766968143,-0.714340094600355,0.014,0.018,1
"LINC00954",0.0458881555285968,0.436853620510179,0.015,0.007,1
"QPCT",0.0459083490409684,0.534933654879573,0.051,0.043,1
"RGS19",0.0462152902700035,-0.44891470753408,0.107,0.123,1
"USP9X",0.04630404842844,-0.298138288104156,0.202,0.218,1
"ZNF442",0.0463064971222404,0.281140869451042,0.012,0.011,1
"AQP3",0.0463514026561037,0.430792226442634,0.158,0.173,1
"AL358334.2",0.0465227219424165,1.78030023771489,0.014,0.006,1
"PCAT1",0.0465313972557588,-0.850085192183543,0.011,0.015,1
"MRPL15",0.0465423157343216,0.350072492532813,0.288,0.266,1
"STAG3",0.0465720343096576,-0.589804582008497,0.021,0.024,1
"LRAT",0.0466051772621949,-0.691587234694236,0.015,0.022,1
"KDM2B",0.0466306132306514,-0.267919380102112,0.077,0.091,1
"CCNT1",0.046741437584466,-0.398467559482694,0.113,0.125,1
"TNNI3",0.0467749183949435,0.605276045945681,0.018,0.014,1
"FBXL19-AS1",0.0468431473465697,-0.543943793577658,0.013,0.015,1
"CSTF1",0.0468964460944324,-0.262888968846636,0.102,0.114,1
"OR2A1-AS1",0.0468998813713025,0.261303289806733,0.034,0.025,1
"GALC",0.0469815819065981,-0.29207677502238,0.057,0.06,1
"CPA4",0.0470201578208634,-1.17575781757692,0.011,0.014,1
"KCNH2",0.0471102873884608,0.662159391834187,0.018,0.014,1
