"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SPARC",2.79101881640972e-05,-0.368051157765171,0.854,0.88,1,"SPARC"
"SCRN1",2.79328736538462e-05,0.68749908468465,0.259,0.185,1,"SCRN1"
"LOC399815",2.81476818440838e-05,0.621891789712508,0.05,0.017,1,"LOC399815"
"CNOT6L",2.82794102396759e-05,-0.733848515579853,0.308,0.384,1,"CNOT6L"
"MCHR2",2.82944527384108e-05,-1.38799576409318,0.071,0.03,1,"MCHR2"
"FGF13-AS1",2.83269138114317e-05,0.867401147127632,0.079,0.035,1,"FGF13-AS1"
"ANK2",2.83990546173094e-05,-0.829580551371443,0.208,0.281,1,"ANK2"
"DCTN1-AS1",2.86760640336834e-05,0.718571435577408,0.057,0.021,1,"DCTN1-AS1"
"SPTBN4",2.88936151094667e-05,1.10981216748428,0.037,0.01,1,"SPTBN4"
"FRMD3",2.89152887685236e-05,0.949766313185314,0.147,0.087,1,"FRMD3"
"LOC284009",2.9124188479524e-05,0.885510799194938,0.029,0.005,1,"LOC284009"
"NCOA6",2.91451597527604e-05,0.265417529191387,0.471,0.359,1,"NCOA6"
"UBE2R2",2.92881480838281e-05,0.287009255036519,0.377,0.278,1,"UBE2R2"
"FAM71E1",2.97905794516662e-05,1.4813791047895,0.051,0.017,1,"FAM71E1"
"NRBP1",2.98619002109809e-05,0.317049716667451,0.676,0.578,1,"NRBP1"
"BNIP2",2.99220267429219e-05,0.360108396358835,0.592,0.489,1,"BNIP2"
"MRPL33",2.99302408436281e-05,-0.359291277611012,0.662,0.713,1,"MRPL33"
"UTP14C",2.99615371919359e-05,-0.339786505346617,0.489,0.337,1,"UTP14C"
"NR3C1",2.99835406112585e-05,-0.860164801149234,0.388,0.451,1,"NR3C1"
"AKAP6",3.01862143263044e-05,0.835614441228352,0.203,0.134,1,"AKAP6"
"ASNA1",3.02073771555935e-05,0.314699271575553,0.552,0.439,1,"ASNA1"
"RPL36A-HNRNPH2",3.02241470889486e-05,0.30766667415842,0.656,0.547,1,"RPL36A-HNRNPH2"
"FHIT",3.02650303946226e-05,-0.253716896301093,0.246,0.159,1,"FHIT"
"C1orf35",3.02885855224584e-05,0.468541687341204,0.456,0.355,1,"C1orf35"
"FLJ37453",3.03581948101973e-05,-0.517621650192881,0.526,0.364,1,"FLJ37453"
"NEK10",3.0593814922019e-05,-1.00707945486757,0.095,0.045,1,"NEK10"
"LOC115110",3.07873528671893e-05,0.529347595082291,0.096,0.047,1,"LOC115110"
"ELN",3.08602531810696e-05,3.44613937593973,0.022,0.003,1,"ELN"
"KLHDC4",3.08995871283617e-05,0.327819865097552,0.253,0.169,1,"KLHDC4"
"SNORA6",3.09905972525098e-05,1.3346891852534,0.039,0.01,1,"SNORA6"
"PFKFB2",3.10825273584156e-05,1.17352118328821,0.406,0.325,1,"PFKFB2"
"CNTD2",3.11717604069173e-05,3.76509441003069,0.022,0.003,1,"CNTD2"
"MYBPC2",3.12344193586195e-05,4.08664365982218,0.022,0.003,1,"MYBPC2"
"FAM106CP",3.1602004082053e-05,1.12137216946768,0.052,0.018,1,"FAM106CP"
"ACP2",3.18094559684732e-05,-0.889658978784005,0.282,0.353,1,"ACP2"
"ZSCAN32",3.21077731370827e-05,0.485755409941051,0.226,0.151,1,"ZSCAN32"
"RGS10",3.21639692251768e-05,0.956118453881464,0.389,0.339,1,"RGS10"
"ATP8B5P",3.22010739425852e-05,0.879532099169914,0.08,0.036,1,"ATP8B5P"
"NIF3L1",3.22662971931933e-05,0.372880450932085,0.389,0.299,1,"NIF3L1"
"LOC100272228",3.23936900171019e-05,-0.924306541209506,0.075,0.133,1,"LOC100272228"
"C1QTNF3",3.24042416762932e-05,-0.345806629631213,0.327,0.215,1,"C1QTNF3"
"ARHGAP5",3.25852403590071e-05,-0.487896476983925,0.504,0.582,1,"ARHGAP5"
"SBF2",3.26516321031825e-05,-1.04415353050192,0.214,0.281,1,"SBF2"
"TPR",3.2791936880242e-05,0.252037328151146,0.788,0.74,1,"TPR"
"IDO1",3.28619297184956e-05,-1.00368618303614,0.742,0.556,1,"IDO1"
"DHRS1",3.29059818823789e-05,-1.05383544871923,0.197,0.266,1,"DHRS1"
"PWRN1",3.29721590989035e-05,0.766448196717457,0.022,0.003,1,"PWRN1"
"MAGEA10-MAGEA5",3.31475906450144e-05,0.470459494093688,0.05,0.017,1,"MAGEA10-MAGEA5"
"LOC728392",3.31597516220236e-05,1.59396545778719,0.039,0.01,1,"LOC728392"
"CHMP2A",3.32616321956438e-05,0.289620541174156,0.784,0.737,1,"CHMP2A"
"GPR116",3.33880061589689e-05,1.59615307202045,0.052,0.018,1,"GPR116"
"HLA-DQA2",3.34219893005837e-05,-3.08427019900962,0.021,0.059,1,"HLA-DQA2"
"C14orf39",3.35286450162307e-05,1.55932697481299,0.034,0.008,1,"C14orf39"
"NBPF11",3.35912233580723e-05,-0.509251810714544,0.405,0.276,1,"NBPF11"
"LOC100288570",3.36996247094664e-05,1.25684739792043,0.015,0,1,"LOC100288570"
"SNURF",3.37833004510583e-05,0.535627162267841,0.737,0.661,1,"SNURF"
"ATG4C",3.38214978834438e-05,0.476458637978256,0.268,0.186,1,"ATG4C"
