"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PFN1",6.17504923295059e-172,1.58775904484384,0.99,0.916,2.32540004014453e-167,"PFN1"
"SERPINE2",4.50515236663839e-162,-2.90263766745249,0.656,0.935,1.69655027822868e-157,"SERPINE2"
"MT2A",3.24809081203831e-152,-3.28780631049626,0.708,0.911,1.22316603799739e-147,"MT2A"
"MIA",9.39476237131167e-145,-3.77421020781742,0.365,0.825,3.53787961378855e-140,"MIA"
"S100A6",4.45356460148925e-143,-2.71198934056696,0.702,0.935,1.67712335762882e-138,"S100A6"
"CTSB",9.56673646803313e-143,-3.03462050827784,0.963,0.972,3.60264161913192e-138,"CTSB"
"EMP1",1.74607412502356e-142,-4.90811450529024,0.172,0.712,6.57536594001372e-138,"EMP1"
"SERPINF1",1.6101786709835e-123,2.71756176918772,0.719,0.205,6.06361083918967e-119,"SERPINF1"
"TM4SF1",9.84985255157754e-122,-7.41200418826912,0.03,0.537,3.70925747387307e-117,"TM4SF1"
"TSC22D3",1.07049941079842e-121,-3.03976997003595,0.293,0.754,4.03128668118471e-117,"TSC22D3"
"ANXA1",2.20083624309492e-120,-1.83163281205758,0.213,0.776,8.28790912424684e-116,"ANXA1"
"ATP1A1",2.91298948128531e-119,-2.01502239901428,0.766,0.921,1.09697357886242e-114,"ATP1A1"
"EIF4A1",3.34513672410859e-116,1.21183924670915,0.984,0.898,1.25971158756481e-111,"EIF4A1"
"CD59",2.47122470905948e-115,-1.70171291023869,0.787,0.934,9.30613800937619e-111,"CD59"
"MAGEA4",1.54369826194035e-114,4.01179220848066,0.549,0.097,5.81325891481499e-110,"MAGEA4"
"CDH19",2.61107904457971e-111,-3.68176483976076,0.324,0.727,9.83280146607827e-107,"CDH19"
"APOC2",1.71832283115754e-107,-5.30520444817931,0.04,0.511,6.47086011757308e-103,"APOC2"
"C1QBP",3.94236351384782e-107,1.65792877766064,0.911,0.608,1.48461525204481e-102,"C1QBP"
"RPS19",8.92864289685178e-107,0.87411716233855,0.995,0.971,3.36234834209644e-102,"RPS19"
"RPS24",1.79005896787915e-105,1.44690265054767,0.99,0.977,6.74100406123932e-101,"RPS24"
"TP53",5.99378376393849e-105,2.46808625626309,0.752,0.297,2.25713908982396e-100,"TP53"
"C17orf76-AS1",7.38111152501705e-104,1.43955379246194,0.98,0.927,2.77957897809092e-99,"C17orf76-AS1"
"SERPINA3",6.09721293465277e-102,-2.84251595147737,0.08,0.556,2.29608844693154e-97,"SERPINA3"
"IGF2BP1",1.01547721480642e-100,4.66558544784778,0.395,0.023,3.824084095518e-96,"IGF2BP1"
"RPLP0",1.26038087806657e-100,1.13741157992134,0.998,0.997,4.74634231062309e-96,"RPLP0"
"ITGA3",1.32643718854605e-100,-5.31134443612235,0.096,0.542,4.99509716462673e-96,"ITGA3"
"A2M",6.04101066927557e-100,-3.19757457160812,0.352,0.75,2.27492379783579e-95,"A2M"
"RPL28",6.35332627150765e-99,1.06357672981523,0.994,0.974,2.39253560732435e-94,"RPL28"
"RPL13AP5",2.13929317142656e-97,0.978013608964138,0.993,0.947,8.05615022495813e-93,"RPL13AP5"
"PTP4A3",2.03642484797867e-96,1.87426394942622,0.522,0.08,7.66876869251806e-92,"PTP4A3"
"RPS7",8.53506317839033e-93,0.943887159712923,0.994,0.984,3.21413409171823e-88,"RPS7"
"RPL18",2.09753643142002e-91,1.07670867606822,0.973,0.948,7.89890269344149e-87,"RPL18"
"CTSD",8.82693431585993e-90,-1.99128087189802,0.819,0.935,3.32404692466653e-85,"CTSD"
"PABPC1",8.91989429351548e-90,0.978136591454885,0.996,0.99,3.35905379305206e-85,"PABPC1"
"GABARAP",1.43464041801599e-89,1.16730956239606,0.949,0.868,5.4025688861646e-85,"GABARAP"
"AHNAK",5.77362256440745e-89,-2.37174372368137,0.45,0.783,2.17423078530456e-84,"AHNAK"
"NSG1",1.83300147835089e-88,-2.42949780304374,0.4,0.728,6.90271696717379e-84,"NSG1"
"UBC",7.83262652661514e-87,-1.23725479576167,0.976,0.987,2.94961049739273e-82,"UBC"
"SLC5A3",1.76667290118516e-86,-3.62747157256445,0.3,0.665,6.65293681128308e-82,"SLC5A3"
"RPS5",1.01977486873695e-85,1.1213893745954,0.99,0.959,3.8402682006896e-81,"RPS5"
"MID1",2.04786162444417e-85,2.98366575922527,0.459,0.079,7.71183730533186e-81,"MID1"
"CST3",1.0642277916204e-83,-2.07146416640885,0.7,0.861,4.0076690176841e-79,"CST3"
"RPL6",1.6296765183855e-83,1.05558111427114,0.993,0.991,6.13703583293611e-79,"RPL6"
"CSPG4",9.52435347141776e-83,-2.10706683455668,0.431,0.78,3.5866810302665e-78,"CSPG4"
"LGALS3",1.0713440442903e-82,-1.52040351902145,0.49,0.868,4.03446740198841e-78,"LGALS3"
"CAV1",4.83714744985015e-82,-1.62972610729494,0.464,0.817,1.82157298666457e-77,"CAV1"
"RPL26",8.66765784767544e-82,1.22871874974617,0.986,0.982,3.26406659227762e-77,"RPL26"
"RPS27",1.61791768420375e-81,1.04060687323908,0.996,0.996,6.09275441517449e-77,"RPS27"
"EIF4EBP2",2.30863296331666e-81,1.67011326817204,0.882,0.56,8.69385001325787e-77,"EIF4EBP2"
"RPL11",3.96146666056959e-80,0.829220989928776,0.986,0.991,1.4918091150373e-75,"RPL11"
"CRYAB",8.29724270576941e-80,-2.09278421034528,0.241,0.665,3.12457565813865e-75,"CRYAB"
"MFGE8",1.58835099058774e-79,-2.13212474800887,0.676,0.861,5.9814121603553e-75,"MFGE8"
"KIF17",2.72629953747858e-79,1.54538266506893,0.454,0.076,1.02666987982368e-74,"KIF17"
"RPS16",3.29164936427573e-79,0.866539503050407,0.989,0.98,1.23956931759896e-74,"RPS16"
"RPL41",1.78945509759173e-78,0.849798359275626,1,1,6.73873000651092e-74,"RPL41"
"CD44",3.3606665693939e-78,-1.37531536323181,0.68,0.955,1.26555981670236e-73,"CD44"
"ILF2",4.23335820183746e-78,1.32818356714987,0.913,0.686,1.59419803164795e-73,"ILF2"
"TUBB",7.3595583779888e-78,1.26593271738085,0.975,0.925,2.77146249398302e-73,"TUBB"
"VANGL2",7.47081877547005e-77,2.72809195715991,0.446,0.081,2.81336093446651e-72,"VANGL2"
"LRPAP1",1.19326439520863e-75,-1.42677056902434,0.966,0.972,4.49359505947664e-71,"LRPAP1"
"HLA-C",6.06571003586681e-75,-1.87238346512462,0.802,0.886,2.28422508530672e-70,"HLA-C"
"MFI2",2.43857715292919e-74,-3.71253927664487,0.163,0.529,9.18319384250074e-70,"MFI2"
"IDH2",4.08511997682354e-74,1.84151672101341,0.676,0.298,1.53837448087221e-69,"IDH2"
"RPS17L",7.76109943690526e-74,0.762394476665194,0.991,0.979,2.92267482594978e-69,"RPS17L"
"RPS17",7.76109943690526e-74,0.762394476665194,0.991,0.979,2.92267482594978e-69,"RPS17"
"SOX4",5.48534593794943e-73,2.07136647735482,0.875,0.605,2.065671573313e-68,"SOX4"
"PERP",6.27097429679096e-73,-2.08352261707508,0.231,0.606,2.36152350068554e-68,"PERP"
"EGR1",1.4210818176172e-72,-2.56766805011095,0.43,0.743,5.35150990878284e-68,"EGR1"
"DUSP4",1.49045128310903e-72,-1.89182730675672,0.562,0.786,5.612741441932e-68,"DUSP4"
"HLA-E",1.63404777332052e-72,-1.42347480697388,0.8,0.93,6.15349710477041e-68,"HLA-E"
"CALU",1.74829768226196e-72,-1.65985820314059,0.818,0.885,6.58373941186207e-68,"CALU"
"RPS3",2.68257982685521e-72,1.08032865601578,0.991,0.994,1.01020591119713e-67,"RPS3"
"BMPR1B",4.57589599578111e-72,-4.2589457677753,0.054,0.412,1.72319091409125e-67,"BMPR1B"
"IGFBP7",6.21009386988152e-72,-2.73457185594845,0.178,0.563,2.33859714951998e-67,"IGFBP7"
"ITGB3",6.41242648567333e-72,-3.16618454174683,0.126,0.504,2.41479156597486e-67,"ITGB3"
"APOD",1.66162088439235e-71,-2.21768144623962,0.574,0.868,6.25733192644473e-67,"APOD"
"NNMT",2.46413721046627e-71,-4.6786464943016,0.036,0.386,9.27944790717389e-67,"NNMT"
"SSR2",3.04560812863187e-71,1.22998791119554,0.928,0.832,1.14691510908019e-66,"SSR2"
"FOXRED2",9.31515919907241e-71,2.28016894906159,0.87,0.633,3.50790265118669e-66,"FOXRED2"
"TIMP1",9.87207739353292e-71,-2.00622971530143,0.723,0.858,3.71762690485663e-66,"TIMP1"
"H3F3A",1.99455795363005e-70,1.68331186426418,0.798,0.463,7.51110634178006e-66,"H3F3A"
"ZNF536",3.38377139824594e-70,7.25896534076715,0.257,0.003,1.27426063315146e-65,"ZNF536"
"CD63",4.68993237047253e-70,-1.01810343893409,0.909,0.968,1.76613473207255e-65,"CD63"
"NREP",3.39219664154195e-69,3.51214215860462,0.479,0.15,1.27743341127187e-64,"NREP"
"GTSF1",3.79918065479422e-69,3.54590470437307,0.385,0.07,1.43069545098241e-64,"GTSF1"
"TAPBP",5.93920875139028e-69,-1.24604059102427,0.975,0.981,2.23658723159855e-64,"TAPBP"
"HLA-F",7.09860149753885e-69,-2.77413975138859,0.504,0.728,2.67319135194318e-64,"HLA-F"
"SEMA3B",2.3136560402339e-68,-4.10086450625829,0.135,0.486,8.71276591631281e-64,"SEMA3B"
"HMGA1",6.92320363842896e-68,1.57954601343279,0.928,0.793,2.60714002615958e-63,"HMGA1"
"RPSA",1.19551623955964e-67,0.73300611350163,0.986,0.982,4.50207505493371e-63,"RPSA"
"UQCRH",1.43814602945143e-67,1.34567367462041,0.943,0.87,5.41577031770819e-63,"UQCRH"
"TRIML2",8.66614532104059e-67,-8.97583564294789,0.001,0.311,3.26349700499746e-62,"TRIML2"
"EIF3K",1.5732433228057e-66,1.05163905268537,0.914,0.732,5.92451970502172e-62,"EIF3K"
"MLLT11",2.81396105987971e-66,2.53007541211644,0.52,0.167,1.0596814559295e-61,"MLLT11"
"UBA52",3.42818140244783e-66,0.774505964937156,0.996,0.965,1.2909845525338e-61,"UBA52"
"MT1E",5.53122351218839e-66,-3.37928927586502,0.152,0.504,2.08294815021991e-61,"MT1E"
"PPP2R1A",1.42353611564828e-65,1.14137462348737,0.882,0.674,5.36075230430829e-61,"PPP2R1A"
"BCL11A",1.87968280895206e-65,3.63700412773546,0.322,0.038,7.07850952195166e-61,"BCL11A"
"KCNN4",3.56807122723147e-65,-3.96700659439365,0.049,0.382,1.34366426275083e-60,"KCNN4"
"HNRNPL",6.61548612963527e-65,1.09385048488458,0.925,0.618,2.49125976669805e-60,"HNRNPL"
"CXorf49",2.06754939836422e-64,6.87506459964984,0.233,0.002,7.78597752435999e-60,"CXorf49"
"CXorf49B",2.06754939836422e-64,6.87506459964984,0.233,0.002,7.78597752435999e-60,"CXorf49B"
"GSN",2.2719387301463e-64,-1.5575067646303,0.622,0.838,8.55566686998493e-60,"GSN"
"SAE1",2.66230389735959e-64,1.37007195063087,0.708,0.343,1.00257040166767e-59,"SAE1"
"TIMP3",4.90050912398915e-64,-1.86733091487229,0.43,0.751,1.84543372591183e-59,"TIMP3"
"BCAN",1.20619898275885e-63,0.721218534650283,0.589,0.223,4.54230412927327e-59,"BCAN"
"SGCE",1.51245660496373e-63,-2.38101780540851,0.209,0.557,5.69560908297243e-59,"SGCE"
"PROS1",2.08941563844439e-63,-2.49490734255785,0.251,0.597,7.86832141125388e-59,"PROS1"
"SLC26A2",3.42309667080878e-63,-3.74847258870211,0.704,0.799,1.28906974429317e-58,"SLC26A2"
"GAA",5.67953744528263e-63,-2.2998726459104,0.323,0.648,2.13880021114453e-58,"GAA"
"CD151",7.7521250433904e-63,-2.60155479012097,0.55,0.734,2.91929524883996e-58,"CD151"
"APOE",7.94770619410714e-63,-2.35786140311579,0.48,0.734,2.99294719857687e-58,"APOE"
"ANXA2",8.39997613071513e-63,-1.10610831629007,0.854,0.948,3.1632630113047e-58,"ANXA2"
"SGK1",1.42106816901448e-62,-1.63145131958535,0.585,0.813,5.35145851087473e-58,"SGK1"
"FXYD3",3.53481065399769e-62,-2.09928970607129,0.269,0.618,1.33113899608245e-57,"FXYD3"
"HLA-B",5.27215682828841e-62,-1.71602982167542,0.794,0.879,1.98538881839685e-57,"HLA-B"
"MATN2",5.44813741904022e-62,-3.72513449304664,0.107,0.438,2.05165958926217e-57,"MATN2"
"RPS11",6.47376907994572e-62,0.782967735813376,0.985,0.972,2.43789196012596e-57,"RPS11"
"NR4A1",9.06935010923455e-62,-2.61621414412225,0.365,0.661,3.41533586413555e-57,"NR4A1"
"CDKN2A",9.67688118383172e-62,2.36085361464686,0.425,0.107,3.64411991620735e-57,"CDKN2A"
"PTMA",1.4535191162808e-61,0.896056466172588,0.994,0.992,5.47366228809024e-57,"PTMA"
"RPS9",3.28280978839515e-61,0.617555995874532,0.976,0.976,1.23624051011384e-56,"RPS9"
"OBSCN",3.37587243995389e-61,1.59747956325733,0.439,0.107,1.27128604343784e-56,"OBSCN"
"RPL8",1.43564328632415e-60,0.396022478951658,0.998,0.995,5.40634548763947e-56,"RPL8"
"CD58",1.63072735915954e-60,-2.22816483858815,0.354,0.646,6.14099308912298e-56,"CD58"
"MAGED4B",2.400739810406e-60,3.6600699453506,0.302,0.037,9.0407059780269e-56,"MAGED4B"
"TUBA1B",3.24953783081909e-60,1.35662149249483,0.976,0.924,1.22371095632985e-55,"TUBA1B"
"RPLP1",3.93528072273434e-60,0.60768901496026,0.999,0.999,1.4819480145673e-55,"RPLP1"
"RPS6",4.40911502572643e-60,0.675819371166993,0.993,0.992,1.66038453638806e-55,"RPS6"
"RPL4",5.11277390559227e-60,0.706070538038846,1,0.996,1.92536839736794e-55,"RPL4"
"ATP5B",6.63971544565367e-60,0.949379033910028,0.953,0.884,2.50038404252426e-55,"ATP5B"
"ISYNA1",1.66204669358342e-59,1.36637889398424,0.825,0.516,6.25893543869645e-55,"ISYNA1"
"SF3B4",1.86152056403917e-59,1.25979233871179,0.822,0.534,7.01011414005873e-55,"SF3B4"
"GPI",2.86237278370619e-59,0.935697197701172,0.996,0.933,1.07791234288808e-54,"GPI"
"MRPS21",3.8394552504259e-59,1.01257575775315,0.904,0.835,1.44586205820538e-54,"MRPS21"
"USP22",4.95961172135284e-59,1.20964196486193,0.91,0.699,1.86769058202705e-54,"USP22"
"RPS8",1.0479900921004e-58,0.681400994443986,0.998,0.997,3.94652108883169e-54,"RPS8"
"TMC6",1.17587021678332e-58,1.72513155904695,0.545,0.201,4.42809206236264e-54,"TMC6"
"MAGED4",2.29523787683018e-58,3.63275855897281,0.292,0.035,8.64340679656708e-54,"MAGED4"
"FTL",4.4664334869953e-58,0.871461754275032,0.996,0.995,1.68196952253269e-53,"FTL"
"RPS15A",6.1155396136252e-58,0.722972868135154,0.985,0.986,2.30298990769898e-53,"RPS15A"
"HLA-A",6.27921300668316e-58,-1.26664059516082,0.827,0.92,2.36462603405675e-53,"HLA-A"
"ADRBK2",8.97763173163944e-58,1.21671237953332,0.754,0.395,3.38079655750078e-53,"ADRBK2"
"HDGFRP3",9.19543661911225e-58,2.07622172878735,0.441,0.123,3.46281752202529e-53,"HDGFRP3"
"SNAI2",2.28807190359065e-57,1.47307849045937,0.623,0.275,8.61642117454166e-53,"SNAI2"
"YWHAE",2.32591952733317e-57,0.774866303722921,0.988,0.94,8.75894775603124e-53,"YWHAE"
"DCT",3.63048582003589e-57,2.35782967817651,0.641,0.362,1.36716835010912e-52,"DCT"
"DLL3",4.52178576448446e-57,2.22882824313144,0.41,0.108,1.70281408318956e-52,"DLL3"
"HLA-H",5.37858224332192e-57,-1.63973144228923,0.758,0.858,2.02546650119017e-52,"HLA-H"
"HNRNPC",6.07931507636779e-57,0.786862213848582,0.953,0.93,2.28934847145858e-52,"HNRNPC"
"CCND3",6.6166315805164e-57,-2.06436939217949,0.368,0.66,2.49169112059087e-52,"CCND3"
"CCT3",1.30410813642907e-56,0.751746360632319,0.964,0.872,4.91101042016459e-52,"CCT3"
"RPS4Y1",1.88140497780603e-56,-1.07911059459886,0.344,0.766,7.08499486542195e-52,"RPS4Y1"
"PASD1",2.78287165089046e-56,7.36203573725334,0.208,0.003,1.04797380629233e-51,"PASD1"
"CAPG",3.80228617614353e-56,-1.46067567916696,0.187,0.584,1.43186492821213e-51,"CAPG"
"NINL",4.1641110145842e-56,2.0583685169579,0.461,0.137,1.56812092587212e-51,"NINL"
"H3F3AP4",4.86805516205213e-56,1.20779149181627,0.9,0.805,1.83321221292559e-51,"H3F3AP4"
"TPP1",5.36278754538093e-56,-1.01732521398121,0.731,0.897,2.01951853383955e-51,"TPP1"
"HNRNPA1",1.03951143820885e-55,0.981580726534685,0.98,0.932,3.91459217400687e-51,"HNRNPA1"
"TPM2",1.23834144283526e-55,1.30653131096947,0.444,0.133,4.66334620542904e-51,"TPM2"
"DDR1",1.58202760280872e-55,-3.12662098711008,0.227,0.524,5.95759954665708e-51,"DDR1"
"GRN",1.59386855519859e-55,-1.33229418669718,0.748,0.857,6.00219020516685e-51,"GRN"
"SERPINA1",2.92818749608668e-55,-4.03602240255405,0.045,0.336,1.10269684727632e-50,"SERPINA1"
"TIMM50",3.69874196209482e-55,1.0872415093582,0.854,0.61,1.39287224808567e-50,"TIMM50"
"PAFAH1B3",4.95578960760978e-55,1.38041920516549,0.708,0.393,1.86625125043369e-50,"PAFAH1B3"
"ITGB8",5.84571626760163e-55,-3.69544264592005,0.382,0.605,2.20137983205342e-50,"ITGB8"
"DDX39B",9.68226674574469e-55,1.04038595442402,0.875,0.717,3.64614801111253e-50,"DDX39B"
"PPA1",1.1513782369571e-54,1.37320906408402,0.771,0.52,4.33586016473303e-50,"PPA1"
"RNF2",2.09131936813755e-54,1.45668751856383,0.753,0.434,7.87549047653239e-50,"RNF2"
"SCCPDH",2.34352057483261e-54,-1.3645374047771,0.382,0.69,8.82522978070463e-50,"SCCPDH"
"CTPS1",2.92175865635683e-54,1.51996868694871,0.562,0.232,1.10027587481085e-49,"CTPS1"
"MYBBP1A",4.49986482422513e-54,1.84758775558416,0.594,0.262,1.6945590955067e-49,"MYBBP1A"
"CD9",5.59590456791169e-54,-1.80566978525414,0.345,0.647,2.10730574218418e-49,"CD9"
"RPAIN",5.78224732162636e-54,1.65321687197735,0.729,0.403,2.17747869637805e-49,"RPAIN"
"TUFM",6.75662209555625e-54,1.01174498686826,0.879,0.706,2.54440874874457e-49,"TUFM"
"LAMP2",1.39212844916881e-53,-1.1770156398279,0.857,0.923,5.24247731387991e-49,"LAMP2"
"PFDN2",1.64204930434542e-53,1.15933123959772,0.858,0.662,6.18362927030397e-49,"PFDN2"
"SAT1",2.13647089861713e-53,-0.896678744046107,0.798,0.958,8.04552211001237e-49,"SAT1"
"TIMP2",2.34388202464343e-53,-1.54738214304198,0.63,0.811,8.82659092840224e-49,"TIMP2"
"ARHGAP4",2.56980560995137e-53,1.97225949318431,0.435,0.127,9.67737396595487e-49,"ARHGAP4"
"FAM3C",4.03900529620085e-53,-2.41702085354121,0.242,0.547,1.52100861444332e-48,"FAM3C"
"CNRIP1",7.32993707853136e-53,1.68834202565307,0.46,0.15,2.76030770503334e-48,"CNRIP1"
"RPL30",1.03438173551356e-52,0.418689665681336,0.99,0.995,3.89527473959696e-48,"RPL30"
"CD47",1.62509556358754e-52,-1.57564112770793,0.565,0.767,6.11978487335796e-48,"CD47"
"RUVBL2",2.24324864634402e-52,1.2283091804634,0.788,0.493,8.44762575240231e-48,"RUVBL2"
"RPS27A",2.66680165764068e-52,0.598014464264329,0.991,0.995,1.00426416823433e-47,"RPS27A"
"CBX5",4.02909261831104e-52,1.40683024905303,0.968,0.9,1.51727569820357e-47,"CBX5"
"KIAA0101",9.22164215500317e-52,2.38270057683288,0.678,0.35,3.47268600273109e-47,"KIAA0101"
"NOLC1",1.36782177924566e-51,1.34345505847686,0.733,0.44,5.15094325628332e-47,"NOLC1"
"GBP2",1.45173828319895e-51,-2.2076230665682,0.128,0.45,5.46695602687061e-47,"GBP2"
"RPL10A",1.57847683652943e-51,0.647799566998096,0.991,0.99,5.94422807100253e-47,"RPL10A"
"PGAM1",1.71014656300246e-51,1.18057124158735,0.888,0.707,6.44006992695467e-47,"PGAM1"
"RDH5",2.93803707743201e-51,-4.57340671225288,0.059,0.336,1.10640600261935e-46,"RDH5"
"XRCC5",3.19628950975575e-51,0.990980460096923,0.913,0.801,1.20365870358382e-46,"XRCC5"
"RPS4X",3.26867784115793e-51,0.665084279296598,0.993,0.997,1.23091870142325e-46,"RPS4X"
"VDAC2",3.31166015857815e-51,1.16948184342215,0.847,0.634,1.24710498251736e-46,"VDAC2"
"CTSL1",5.10215089605489e-51,-2.16033417355411,0.626,0.802,1.92136798443635e-46,"CTSL1"
"RPL37",5.294066028997e-51,0.609006484434281,0.98,0.969,1.99363938519969e-46,"RPL37"
"CS",6.14809195491518e-51,1.04302854041741,0.869,0.682,2.31524846838196e-46,"CS"
"FYB",6.90264247456784e-51,-2.60804832661631,0.072,0.371,2.59939710307276e-46,"FYB"
"S100A1",1.00773930856096e-50,-1.74120969681086,0.338,0.654,3.79494468817886e-46,"S100A1"
"SLC5A4",2.16787991067286e-50,-0.593221891948135,0.242,0.022,8.16380216761186e-46,"SLC5A4"
"CDCA7",2.30646589649355e-50,1.52954946689866,0.43,0.131,8.68568927301539e-46,"CDCA7"
"SNRPE",3.37390459088607e-50,1.16655635536348,0.915,0.841,1.27054499083587e-45,"SNRPE"
"DUSP6",3.54440007255533e-50,-1.3165222795647,0.595,0.836,1.33475017932289e-45,"DUSP6"
"LGALS1",3.61715738801131e-50,-0.874653369054782,0.798,0.948,1.3621491291773e-45,"LGALS1"
"LEF1-AS1",1.40521968337559e-49,-4.60957049695171,0.035,0.297,5.2917762836558e-45,"LEF1-AS1"
"DDX5",1.7781839677454e-49,-0.816245992641886,0.945,0.941,6.69628518573562e-45,"DDX5"
"SHMT2",2.0589182624893e-49,1.25866209966023,0.766,0.479,7.7534743928822e-45,"SHMT2"
"DDX50",3.744644777337e-49,1.61115555066996,0.57,0.251,1.41015833024957e-44,"DDX50"
"FBLN2",7.62525668437254e-49,3.3886214398097,0.231,0.021,2.87151916220101e-44,"FBLN2"
"FAM174B",7.65526660653907e-49,1.54338016565212,0.534,0.225,2.88282029869048e-44,"FAM174B"
"HOXA10",1.08761727282155e-48,3.07568190506614,0.291,0.051,4.0957491259914e-44,"HOXA10"
"HENMT1",1.10973006637818e-48,2.66282642996539,0.293,0.052,4.17902148396696e-44,"HENMT1"
"EEA1",1.36675488565807e-48,-2.01654733868348,0.456,0.684,5.14692554841118e-44,"EEA1"
"FSCN1",1.50855409029929e-48,1.59830715327639,0.517,0.198,5.68091299324907e-44,"FSCN1"
"S100B",1.6915833829229e-48,-1.09946275492048,0.652,0.92,6.37016470341107e-44,"S100B"
"THOC5",1.95942567662914e-48,1.4098125334074,0.612,0.278,7.37880521305002e-44,"THOC5"
"NPC1",2.2040134250757e-48,-2.34534574695451,0.406,0.64,8.29987375615008e-44,"NPC1"
"LGALS3BP",4.33831834057062e-48,-0.889488186530559,0.736,0.904,1.63372392069208e-43,"LGALS3BP"
"RPS10",4.52823346091624e-48,0.715886666339104,0.969,0.976,1.70524215671184e-43,"RPS10"
"RPL31",6.20550714024186e-48,0.704859803408401,0.988,0.991,2.33686987887228e-43,"RPL31"
"NDUFS2",6.22373967475472e-48,0.972611634196355,0.869,0.642,2.34373588671913e-43,"NDUFS2"
"UHRF1",7.01168427772147e-48,2.90712988320283,0.355,0.095,2.64046006530435e-43,"UHRF1"
"RPS18",8.42310518260438e-48,0.51149553544765,0.998,0.998,3.17197294966516e-43,"RPS18"
"ARID3B",1.582857024911e-47,2.77794195122462,0.328,0.073,5.96072298440985e-43,"ARID3B"
"PRSS21",1.61009575758868e-47,6.39287554773775,0.181,0.003,6.06329860392744e-43,"PRSS21"
"JUN",1.7465858598834e-47,-2.43639997972449,0.542,0.708,6.57729303114889e-43,"JUN"
"MDH2",1.97629608632431e-47,0.811295778612102,0.926,0.8,7.44233580188008e-43,"MDH2"
"FAM110B",2.08647450522698e-47,3.03958181357114,0.246,0.03,7.85724569178375e-43,"FAM110B"
"B2M",2.09606733399847e-47,-0.863628955594277,0.899,0.977,7.89337036637145e-43,"B2M"
"PRSS23",2.15836797947815e-47,-1.6369031705317,0.264,0.576,8.12798213711884e-43,"PRSS23"
"TP53I11",2.73173856358398e-47,5.43998729528673,0.246,0.032,1.02871810827446e-42,"TP53I11"
"SDC3",4.02138782962823e-47,-1.51780683700237,0.431,0.693,1.5143742288814e-42,"SDC3"
"SRP14",4.285244757313e-47,0.743957839497493,0.963,0.933,1.61373747070893e-42,"SRP14"
"ANP32E",4.5928251429042e-47,1.12187403670354,0.865,0.627,1.72956609231486e-42,"ANP32E"
"TYMS",5.9392586928793e-47,1.65245631542832,0.509,0.201,2.23660603856449e-42,"TYMS"
"CDCA7L",7.86767589061826e-47,2.29390625781341,0.315,0.067,2.96280938688902e-42,"CDCA7L"
"SLC25A3",8.3058893070397e-47,0.729514870040537,0.968,0.921,3.12783179524501e-42,"SLC25A3"
"LOC728190",8.76093433060867e-47,1.54326439629764,0.536,0.213,3.29919265022061e-42,"LOC728190"
"KIF13B",9.52926567505224e-47,-2.70930738608578,0.153,0.442,3.58853086791117e-42,"KIF13B"
"ADAMTS7",1.02818304335578e-46,3.52804900346059,0.222,0.021,3.87193170466921e-42,"ADAMTS7"
"EIF2S3",1.04225621814401e-46,0.756021858460474,0.964,0.905,3.92492846628673e-42,"EIF2S3"
"CARD16",1.12182541260463e-46,-2.62286805445248,0.103,0.388,4.22457013878653e-42,"CARD16"
"UBAP2L",1.19896923876604e-46,0.988583932241341,0.89,0.724,4.51507835934516e-42,"UBAP2L"
"RPL13A",1.64162559216327e-46,0.681218794091194,0.983,0.915,6.18203365496844e-42,"RPL13A"
"ITM2C",1.81954329983692e-46,1.11806022285844,0.824,0.549,6.85203615852587e-42,"ITM2C"
"DDX21",1.91765653777761e-46,1.14088697435677,0.696,0.379,7.22151098996291e-42,"DDX21"
"CFL1",2.10884956123767e-46,0.66248895023243,0.988,0.972,7.94150567770884e-42,"CFL1"
"FBXO32",2.17490129211513e-46,-2.03037811557379,0.434,0.678,8.19024328584714e-42,"FBXO32"
"ACTB",2.30610259405188e-46,0.659943978933693,0.999,0.995,8.68432114868055e-42,"ACTB"
"GPC3",2.64861271085494e-46,5.85212216438726,0.239,0.031,9.97414574653754e-42,"GPC3"
"CCT2",2.84627518012084e-46,1.21496625952649,0.867,0.696,1.07185030732991e-41,"CCT2"
"GAGE2A",3.62587028077107e-46,7.56400583575157,0.176,0.003,1.36543023033277e-41,"GAGE2A"
"COX6B1",6.86608739874981e-46,0.923943219126499,0.9,0.815,2.5856311926212e-41,"COX6B1"
"RPL17",1.20983335834465e-45,0.639909183374218,0.991,0.99,4.55599046085429e-41,"RPL17"
"FCGR2A",1.23560451166965e-45,-1.68423145427361,0.322,0.58,4.65303947004558e-41,"FCGR2A"
"MPP7",1.32994160803335e-45,1.54123107181425,0.532,0.206,5.008294107532e-41,"MPP7"
"NPC2",1.37734145199528e-45,-1.02283946450289,0.754,0.916,5.18679243992381e-41,"NPC2"
"SKP2",1.56299597602366e-45,1.60646581222205,0.788,0.521,5.88593024650991e-41,"SKP2"
"PA2G4",2.07066176674841e-45,1.15042942421766,0.887,0.759,7.79769808122117e-41,"PA2G4"
"SCNM1",2.22821514616705e-45,1.41092413229537,0.589,0.294,8.39101259743588e-41,"SCNM1"
"ATP5G2",2.73641120674872e-45,0.59307250135841,0.971,0.962,1.03047773223743e-40,"ATP5G2"
"CELSR3",3.13364771311393e-45,3.06868032739775,0.276,0.05,1.18006905580445e-40,"CELSR3"
