"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ITGB3",2.9772537011359e-71,-3.13302392241167,0.126,0.495,7.05192311651049e-67
"HLA-F",4.40028888103541e-71,-2.76000318482613,0.498,0.728,1.04225242436205e-66
"IDH2",1.3137605931692e-70,1.77479861996348,0.668,0.309,3.11177334098056e-66
"PERP",1.03975343837885e-69,-1.96731172621652,0.241,0.603,2.46275999414415e-65
"RPS17L",1.45273090567235e-69,0.715693837440153,0.99,0.98,3.44093842317553e-65
"RPS17",1.45273090567235e-69,0.715693837440153,0.99,0.98,3.44093842317553e-65
"BMPR1B",1.75492497268785e-69,-4.0973469070166,0.059,0.403,4.15671529030845e-65
"MT1E",2.4194093543878e-69,-3.36152599972874,0.15,0.506,5.73061299680295e-65
"CALU",5.05605115452345e-69,-1.53791660695433,0.821,0.883,1.19757627646042e-64
"IGFBP7",1.76468752032791e-68,-2.57845292649013,0.183,0.549,4.1798388606487e-64
"GTSF1",3.51271664087064e-68,3.52323857449859,0.375,0.07,8.32022063556619e-64
"TAPBP",6.26358581807536e-68,-1.24194500097995,0.976,0.979,1.48359293686933e-63
"H3F3A",2.25914579479306e-67,1.62039265416651,0.789,0.467,5.35101272954685e-63
"DUSP4",3.16851502669204e-67,-1.73224473909209,0.568,0.779,7.50494469222275e-63
"ZNF536",3.64592720409305e-67,5.36868782806574,0.25,0.008,8.6357431756148e-63
"RPSA",9.24908901933775e-67,0.698182693877383,0.985,0.981,2.19073922512034e-62
"HLA-B",3.77941010877703e-66,-1.75210844528253,0.796,0.882,8.95191078364926e-62
"SSR2",9.58583440475798e-66,1.16740586642823,0.926,0.833,2.27050073711098e-61
"UQCRH",1.1020652202873e-65,1.28996875723134,0.942,0.869,2.61035168077251e-61
"TRIML2",1.31641361218221e-65,-8.95510236247958,0.001,0.298,3.11805728181479e-61
"BCL11A",1.81506277328674e-65,3.41933793117726,0.318,0.04,4.29915768480697e-61
"NREP",2.49344882632805e-65,3.42016424153961,0.469,0.158,5.90598289004063e-61
"KCNN4",4.02587243378193e-65,-3.88723715960355,0.05,0.377,9.53568144665588e-61
"CXorf49",4.16348801863996e-65,6.89604135645233,0.227,0.002,9.86163772095061e-61
