"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MX1",1.52374718237373e-15,2.39864712590163,0.176,0.053,3.24923849169375e-11
"ITCH",1.63917631555721e-15,1.06163540314291,0.223,0.077,3.49537957529419e-11
"NNT-AS1",1.67628862440416e-15,0.671837356434332,0.218,0.071,3.57451786267942e-11
"ZNF721",1.6966265091189e-15,1.2023020242764,0.176,0.05,3.61788636804515e-11
"ANO6",1.71235190143374e-15,0.40378598146652,0.299,0.117,3.6514191946173e-11
"TMF1",1.81369675687292e-15,0.791233483457463,0.301,0.125,3.86752696435581e-11
"MAP4",1.86668261466818e-15,0.923141879392991,0.441,0.239,3.98051400751843e-11
"EEF1A1",1.93354318836235e-15,-0.47280137832426,0.981,0.995,4.12308749486387e-11
"DENND2C",2.06002410167507e-15,1.23749906837099,0.138,0.031,4.39279539441192e-11
"BOLA3",2.12552718223167e-15,-1.31095906633857,0.373,0.496,4.53247416339081e-11
"KMT2E-AS1",2.23494937607058e-15,1.45492126285134,0.191,0.059,4.7658060495329e-11
"PLK3",2.32460513326168e-15,1.15741475101512,0.237,0.086,4.95698798616721e-11
"WDR45B",2.33842566419795e-15,-1.27824831493488,0.339,0.484,4.98645888633571e-11
"GRIPAP1",2.35345432591009e-15,1.01183686802181,0.191,0.058,5.01850600457068e-11
"ABCG5",2.36792373058553e-15,1.89528999693326,0.125,0.025,5.04936056310058e-11
"ALDH4A1",2.4029733035525e-15,0.923828771448405,0.277,0.111,5.12410027249534e-11
"DHX36",2.4226874418002e-15,0.659535052930838,0.407,0.201,5.16613870089475e-11
"NUP88",2.43639978004379e-15,1.94435425621663,0.14,0.032,5.19537889096538e-11
"ATP2B2",2.44589229158002e-15,1.27425233727715,0.157,0.041,5.21562072256523e-11
"SPP2",2.44895373603195e-15,1.10215289153253,0.119,0.022,5.22214894671453e-11
"DDX5",2.5207498085195e-15,0.7478507929187,0.807,0.667,5.37524689168698e-11
"B4GAT1",2.52107209425577e-15,0.860619407396059,0.225,0.078,5.37593413379101e-11
"TUSC1",2.5431829957651e-15,-4.23875030183501,0.025,0.154,5.4230834201695e-11
"IBA57",2.56360298587809e-15,1.87252618386412,0.131,0.028,5.46662700708643e-11
"SMC6",2.58664352064003e-15,1.2823805042482,0.259,0.102,5.5157586434128e-11
"AREG",2.68324410926306e-15,-1.76165541132263,0.157,0.333,5.72174973859255e-11
"SREK1",2.68421736165563e-15,0.776841730112708,0.54,0.307,5.72382510199447e-11
"LRRFIP2",2.79902490298397e-15,0.865606870961931,0.328,0.145,5.96864070312302e-11
"F11",2.83174403575705e-15,1.72112213668024,0.11,0.018,6.03841098184833e-11
"MALSU1",3.1566514330053e-15,0.721026884716293,0.502,0.274,6.7312435157405e-11
"PLEKHA4",3.34313387763122e-15,2.30446852813338,0.138,0.032,7.1288986806608e-11
"FXR1",3.38154122785076e-15,0.61057289399328,0.483,0.255,7.21079851426896e-11
"DDT",3.40060416643809e-15,-1.49866706312572,0.758,0.763,7.25144832451258e-11
"HADHA",3.43984724638264e-15,0.493924245308622,0.6,0.351,7.33513026818633e-11
"SEPP1",3.70466559852775e-15,1.02641609321024,0.652,0.563,7.89982892230058e-11
"DUSP10",3.75491104608983e-15,0.674684186452178,0.356,0.164,8.00697231468195e-11
"ADK",3.77196589516687e-15,0.882831680241169,0.352,0.162,8.04334007485383e-11
"UFSP2",3.85200011175898e-15,1.21987625146577,0.21,0.071,8.21400503831486e-11
"ADH4",3.86895595413595e-15,2.40583306003735,0.102,0.015,8.2501616765995e-11
"SRPK1",3.88721330726949e-15,0.839239509507815,0.347,0.156,8.28909365642147e-11
"GALM",3.94641800554758e-15,0.947006242490892,0.214,0.071,8.41534175502966e-11
"RPS27L",3.96909741979489e-15,-0.63704716332093,0.748,0.847,8.46370333797063e-11
"CCAT1",4.02355260858251e-15,2.90642981867909,0.108,0.018,8.57982358254134e-11
"NDEL1",4.09227667581924e-15,1.2774486700817,0.167,0.046,8.72637078351694e-11
"RALGAPA2",4.16634076123395e-15,0.998604699085273,0.258,0.1,8.88430503925527e-11
"MLF2",4.17837387603182e-15,-1.01434900871517,0.492,0.565,8.90996445325025e-11
"SC5D",4.21374909071019e-15,1.3876176667541,0.356,0.183,8.98539856103042e-11
"HIVEP1",4.28330683991045e-15,2.41350934105648,0.127,0.027,9.13372350542504e-11
"SYCE1L",4.40457888761106e-15,0.642070058702725,0.14,0.031,9.39232401994183e-11
"RP11-83A24.2",4.50055856398144e-15,1.58931162033319,0.199,0.066,9.59699108183403e-11
"PMM2",4.56708576743675e-15,1.99059169207423,0.131,0.029,9.73885369048212e-11
"CNP",4.63963713673104e-15,0.921338412039135,0.258,0.097,9.89356223036528e-11
"DNAJC22",4.73760649137529e-15,0.74864382243049,0.252,0.094,1.01024720822087e-10
"HERC4",4.87959769049726e-15,0.967863849705356,0.352,0.164,1.04052541152164e-10
"FBXL20",5.0370451956831e-15,1.87056646074274,0.125,0.026,1.07409951752746e-10
"MRPS18A",5.07155447218066e-15,0.902736760838293,0.447,0.24,1.0814582756478e-10
"ATXN3",5.07400104423348e-15,1.20375420719536,0.231,0.083,1.08197998267235e-10
"ZFAS1",5.22000706259459e-15,-0.657229346273881,0.655,0.728,1.11311430602767e-10
"L3MBTL4",5.27214397715594e-15,1.85502122208759,0.119,0.023,1.12423198168873e-10
"ITGB4",5.31645294597987e-15,-1.56200917077735,0.214,0.379,1.13368042620075e-10
"CEP95",5.54124070840378e-15,1.39756228711838,0.188,0.059,1.18161416866002e-10
"TLN1",5.60637787686968e-15,0.759220200450676,0.4,0.198,1.19550401846369e-10
"SIK3",5.71512122503984e-15,1.3500975076687,0.167,0.047,1.2186924500275e-10
"DHODH",5.79405794340329e-15,0.836706591404033,0.191,0.059,1.23552491585132e-10
"SUMO1",5.97156360376237e-15,-0.609608882033603,0.706,0.753,1.27337622286629e-10
"AP2S1",6.08122806170907e-15,-0.80197658069092,0.648,0.705,1.29676107187884e-10
"TARBP1",6.33090622966051e-15,1.16023459731082,0.225,0.081,1.35000244441281e-10
"UPF2",6.51427728622004e-15,0.798823989087026,0.426,0.222,1.38910448851356e-10
"RP11-395B7.4",6.5609310048652e-15,-3.70450499286099,0.021,0.147,1.39905292747745e-10
"TRAPPC2L",6.77929499911991e-15,-1.10628858296554,0.485,0.56,1.44561686561233e-10
"TBCK",7.17462907770957e-15,2.07903642393224,0.112,0.02,1.52991790453079e-10
"SERTAD1",7.21805551279055e-15,0.897314160580573,0.428,0.228,1.53917815754746e-10
"ZBTB41",7.35703760247607e-15,1.0482147947305,0.246,0.093,1.568814698352e-10
"PTTG1",7.40332063388061e-15,-2.7318348763468,0.051,0.195,1.5786840919687e-10
"MAGED2",7.42454993136954e-15,0.710286239284963,0.373,0.177,1.58321102736524e-10
"EPHA1",7.5782570833426e-15,1.50811505693201,0.138,0.032,1.61598754045198e-10
"SLC25A45",7.59536247371073e-15,2.04193709259602,0.117,0.023,1.61963509389408e-10
"IFI27L2",7.68965753142313e-15,-1.08722833891893,0.292,0.465,1.63974257200067e-10
"PSMA3-AS1",7.77542470531702e-15,0.885823593863211,0.403,0.204,1.6580315641618e-10
"C2orf47",7.83259293698662e-15,1.01238255769959,0.218,0.076,1.67022211788303e-10
"ABHD14B",8.09726565999869e-15,0.748546491434969,0.456,0.252,1.72666092933812e-10
"ERO1A",8.47327771000733e-15,-1.24736137900617,0.462,0.566,1.80684173888196e-10
"NME1",8.66635201656607e-15,-1.16370738339724,0.574,0.619,1.84801290401255e-10
"HPS4",8.71467437630714e-15,1.10629795614834,0.246,0.093,1.85831716400373e-10
"HFE",8.75522207399929e-15,1.47551949488093,0.136,0.031,1.86696355505961e-10
"TLR5",8.83191205807504e-15,1.42820197781346,0.11,0.019,1.88331692726392e-10
"COX7B2",8.83708689861573e-15,-4.22871906834632,0.006,0.118,1.88442041026082e-10
"ATP6V0A1",8.87937174914866e-15,0.723877230047031,0.297,0.125,1.89343723178846e-10
"ITPR3",9.23958202727211e-15,-2.16848184017203,0.08,0.234,1.9702484714955e-10
"GAS6",9.44110087337957e-15,-2.24309711206662,0.089,0.241,2.01322035023946e-10
"TIPARP",9.48837783567267e-15,1.23770897869099,0.299,0.134,2.02330168967884e-10
"SF3B5",9.72317290526958e-15,-0.809986262464805,0.538,0.617,2.07336939031969e-10
"TNFSF14",9.8577182372463e-15,1.06798177105998,0.161,0.044,2.1020598369104e-10
"KIAA1586",1.05445743325353e-14,1.92603748764187,0.116,0.022,2.24852503066983e-10
"STAT1",1.09661806670488e-14,-1.2540825069626,0.271,0.439,2.33842836544148e-10
"SCOC",1.09671818771986e-14,-1.19346340861051,0.35,0.482,2.33864186349382e-10
"METAP1D",1.10734946170366e-14,1.91249993573562,0.155,0.043,2.36131199213689e-10
"SLC3A2",1.11214461697758e-14,0.864898066036581,0.506,0.285,2.37153718124299e-10
"PCNX",1.12567077686642e-14,1.70240122868212,0.172,0.051,2.40038036458996e-10
"NR1H3",1.15555425685603e-14,1.39254667429389,0.237,0.09,2.46410389731979e-10
"LANCL2",1.18294716331722e-14,1.43557213247119,0.129,0.028,2.52251653105765e-10
"TUBB2A",1.19625826345468e-14,0.789430988549959,0.278,0.113,2.55090112099075e-10
"NUAK2",1.19973901786892e-14,2.11405352265623,0.104,0.017,2.55832348170368e-10
"GALT",1.20992140542426e-14,0.65467220969104,0.299,0.126,2.5800364049267e-10
"NMRK1",1.23495655910805e-14,0.724438211675373,0.29,0.119,2.63342136664201e-10
"CENPC",1.24821848821488e-14,1.82746598170357,0.134,0.031,2.66170110426941e-10
"WNK3",1.26994424278383e-14,1.29944778388185,0.114,0.021,2.70802910331223e-10
"DTWD2",1.30422274518229e-14,1.48393808734663,0.116,0.022,2.78112458182672e-10
"PRSS16",1.32736287886419e-14,-2.90466072182283,0.032,0.163,2.83046860289e-10
"SLC44A1",1.33468571558505e-14,-1.92720894677,0.205,0.357,2.84608381991355e-10
"AK1",1.34536789560697e-14,0.662413920315252,0.525,0.303,2.86886250059229e-10
"TTLL7",1.36227255097137e-14,1.89043312892747,0.133,0.031,2.90490998769134e-10
"IGSF8",1.4774220413512e-14,0.733861130252656,0.328,0.144,3.15045476097731e-10
"TSC22D2",1.48313799324114e-14,0.944965962846594,0.28,0.114,3.1626434567874e-10
"TFCP2L1",1.50607510733783e-14,-3.26573342940246,0.011,0.129,3.21155455888718e-10
"RND1",1.5826274102871e-14,1.41725555451694,0.123,0.026,3.3747946896962e-10
"COPS3",1.58484989651353e-14,0.873600527224063,0.292,0.124,3.37953391932544e-10
"NFS1",1.60971600233352e-14,0.789929448175045,0.21,0.071,3.43255840337599e-10
"TARS2",1.63241445320235e-14,0.838935566789373,0.201,0.067,3.48096058000869e-10
"CRK",1.64045009291821e-14,0.725298210866654,0.413,0.205,3.49809577813878e-10
"PRKRIP1",1.662274590329e-14,1.04471063031942,0.347,0.164,3.54463433641756e-10
"CTD-2012K14.8",1.68388539363863e-14,1.57991414751249,0.153,0.041,3.59071721339502e-10
"CDADC1",1.69645447091136e-14,1.90576043505536,0.146,0.037,3.61751951377138e-10
"MYL12A",1.70259949492571e-14,-0.624962490976885,0.807,0.833,3.63062316297959e-10
"PPP4R3A",1.70745416043279e-14,0.918429940040109,0.343,0.164,3.64097525170687e-10
"SSX1",1.79145149684727e-14,-4.40517561846016,0.004,0.112,3.82009117187711e-10
"EWSR1",1.79828554001725e-14,0.791315333147296,0.491,0.268,3.83466408553279e-10
"MTG2",1.80846739477392e-14,0.996269781525547,0.241,0.09,3.85637587261592e-10
"CYB5D2",1.81542748482763e-14,0.884953997382284,0.235,0.087,3.87121756864643e-10
"TMPRSS6",1.81889466834639e-14,1.5127829252971,0.167,0.048,3.87861099078184e-10
"NBAS",1.82509910761755e-14,1.20712887230875,0.188,0.06,3.89184133708367e-10
"MRPL33",1.82697234427966e-14,-1.00877374752631,0.491,0.593,3.89583582694194e-10
"LIAS",1.83849948206849e-14,1.04456548972181,0.18,0.055,3.92041629556284e-10
"ABCD4",1.84329738611147e-14,1.51017029274359,0.197,0.067,3.93064734614411e-10
"RBL2",1.91594473071744e-14,0.639252715190465,0.246,0.093,4.08556054378188e-10
"FAM89B",1.98417071580372e-14,-2.18195653359506,0.117,0.271,4.23104563437985e-10
"POLK",1.99349145567529e-14,0.84396215325992,0.295,0.127,4.25092118008199e-10
"MBIP",2.01643588021602e-14,0.959468448834693,0.197,0.065,4.29984787097264e-10
"CLEC2D",2.03624296418483e-14,1.29307920787283,0.157,0.043,4.34208449682773e-10
"ALG1L",2.03861503287651e-14,2.03915230174264,0.152,0.041,4.34714269610587e-10
"NMU",2.03970675469682e-14,-5.16508236981285,0.004,0.112,4.34947068371551e-10
"TNPO3",2.07036626730118e-14,0.728304354354366,0.269,0.109,4.41484902839303e-10
"PROSER3",2.07613020916953e-14,1.82224783063912,0.108,0.019,4.42714005803311e-10
"PSMD4",2.15274211414794e-14,0.605304793972437,0.686,0.496,4.59050728420906e-10
"RSBN1L",2.16643960541468e-14,0.690315890623308,0.549,0.316,4.61971581458627e-10
"PCDH1",2.18891594621225e-14,-2.37203515474279,0.072,0.219,4.66764436370301e-10
"EI24",2.19273481872096e-14,-0.820360070417437,0.559,0.621,4.67578772744057e-10
