"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SPTAN1",5.02915676622282e-06,0.313877789609253,0.493,0.406,0.117224615063888
"ACBD5",5.05503657497132e-06,-0.716453090092536,0.095,0.155,0.117827847526006
"NEK6",5.1250027606418e-06,0.626913061140228,0.122,0.072,0.1194586893478
"KIF22",5.12555375978958e-06,-0.540561403730218,0.174,0.246,0.119471532586935
"PRKCSH",5.14799277820779e-06,-0.409236531341004,0.525,0.574,0.119994563667245
"CPSF7",5.17868981458384e-06,-0.404672063047941,0.312,0.39,0.120710080888135
"ILF3-AS1",5.19589388815845e-06,-0.860515186030741,0.116,0.177,0.121111090639085
"SCAP",5.20806421407872e-06,-0.629778412906097,0.19,0.26,0.121394768765961
"NSMF",5.25639504441008e-06,0.801530452146832,0.103,0.059,0.122521312090154
"GPRC5C",5.25774015752411e-06,-0.821960376838907,0.069,0.121,0.12255266533173
"LRRC8D",5.26851030338849e-06,-0.828718444469381,0.073,0.127,0.122803706661682
"DIP2B",5.30740078015991e-06,-0.491023474628243,0.278,0.351,0.123710204784747
"RNF114",5.35122120988899e-06,-0.52131378323403,0.492,0.538,0.124731615181303
"SUPT16H",5.40315522752187e-06,-0.544395211692863,0.386,0.44,0.125942145198307
"NSG1",5.42018935648135e-06,-0.411602932761343,0.288,0.36,0.126339193710224
"CASP7",5.47498980782071e-06,0.447697960004212,0.227,0.161,0.127616537430493
"AGO2",5.59048485602551e-06,-0.493333708098696,0.355,0.429,0.130308611509099
"ARFGEF2",5.62179006110397e-06,-0.729511949641643,0.115,0.179,0.131038304534272
"ACTL6A",5.69764253765534e-06,-0.478096691323474,0.336,0.396,0.132806349910208
"CDKN1C",5.74144918945554e-06,-0.765234624722317,0.071,0.125,0.133827439157019
"C1R",5.77439618307616e-06,-1.22831177692058,0.056,0.104,0.134595400631322
"SLCO2A1",5.79743635871678e-06,-1.02933415552805,0.176,0.237,0.135132444085329
"KDM6A",5.8182672197077e-06,-0.441214955752898,0.493,0.556,0.135617990624167
"TMTC3",5.81979050391197e-06,0.382489236694774,0.34,0.264,0.135653496855684
"NUDT3",5.83507600781645e-06,-0.6000450639276,0.223,0.292,0.136009786666194
"ERP44",5.88431339670431e-06,0.317917203465779,0.468,0.374,0.137157460963781
"FAM161A",5.92452852071179e-06,0.619431999720213,0.14,0.087,0.138094835289271
"EHBP1",5.92542667052179e-06,-0.611214828652206,0.191,0.26,0.138115770263192
